Plate1,A1,0
Plate1,A2,145
Plate1,A3,314
Plate1,A4,273
Plate1,A5,0
Plate1,A6,162
Plate1,A7,389
Plate1,A8,446
Plate1,A9,214
Plate1,A10,495
Plate1,A11,313
Plate1,A12,473
Plate1,B1,186
Plate1,B2,154
Plate1,B3,166
Plate1,B4,359
Plate1,B5,199
Plate1,B6,152
Plate1,B7,262
Plate1,B8,322
Plate1,B9,252
Plate1,B10,214
Plate1,B11,533
Plate1,B12,195
Plate1,C1,191
Plate1,C2,190
Plate1,C3,224
Plate1,C4,298
Plate1,C5,276
Plate1,C6,0
Plate1,C7,375
Plate1,C8,371
Plate1,C9,225
Plate1,C10,394
Plate1,C11,421
Plate1,C12,296
Plate1,D1,273
Plate1,D2,191
Plate1,D3,243
Plate1,D4,317
Plate1,D5,102
Plate1,D6,221
Plate1,D7,363
Plate1,D8,235
Plate1,D9,330
Plate1,D10,156
Plate1,D11,395
Plate1,D12,294
Plate1,E1,246
Plate1,E2,257
Plate1,E3,279
Plate1,E4,313
Plate1,E5,159
Plate1,E6,146
Plate1,E7,327
Plate1,E8,348
Plate1,E9,403
Plate1,E10,434
Plate1,E11,435
Plate1,E12,234
Plate1,F1,143
Plate1,F2,338
Plate1,F3,541
Plate1,F4,309
Plate1,F5,310
Plate1,F6,210
Plate1,F7,250
Plate1,F8,227
Plate1,F9,133
Plate1,F10,334
Plate1,F11,501
Plate1,F12,413
Plate1,G1,239
Plate1,G2,112
Plate1,G3,185
Plate1,G4,413
Plate1,G5,247
Plate1,G6,117
Plate1,G7,322
Plate1,G8,260
Plate1,G9,273
Plate1,G10,364
Plate1,G11,539
Plate1,G12,296
Plate1,H1,257
Plate1,H2,209
Plate1,H3,300
Plate1,H4,292
Plate1,H5,397
Plate1,H6,420
Plate1,H7,399
Plate1,H8,261
Plate1,H9,257
Plate1,H10,0
Plate1,H11,0
Plate1,H12,0
Plate2,A1,240
Plate2,A2,112
Plate2,A3,307
Plate2,A4,443
Plate2,A5,160
Plate2,A6,254
Plate2,A7,407
Plate2,A8,239
Plate2,A9,367
Plate2,A10,151
Plate2,A11,227
Plate2,A12,262
Plate2,B1,408
Plate2,B2,299
Plate2,B3,487
Plate2,B4,319
Plate2,B5,356
Plate2,B6,313
Plate2,B7,399
Plate2,B8,465
Plate2,B9,0
Plate2,B10,173
Plate2,B11,232
Plate2,B12,355
Plate2,C1,290
Plate2,C2,438
Plate2,C3,263
Plate2,C4,477
Plate2,C5,357
Plate2,C6,297
Plate2,C7,0
Plate2,C8,401
Plate2,C9,121
Plate2,C10,255
Plate2,C11,409
Plate2,C12,495
Plate2,D1,369
Plate2,D2,446
Plate2,D3,431
Plate2,D4,347
Plate2,D5,547
Plate2,D6,313
Plate2,D7,378
Plate2,D8,488
Plate2,D9,231
Plate2,D10,0
Plate2,D11,135
Plate2,D12,157
Plate2,E1,172
Plate2,E2,0
Plate2,E3,211
Plate2,E4,440
Plate2,E5,525
Plate2,E6,309
Plate2,E7,548
Plate2,E8,542
Plate2,E9,473
Plate2,E10,125
Plate2,E11,337
Plate2,E12,287
Plate2,F1,0
Plate2,F2,298
Plate2,F3,370
Plate2,F4,319
Plate2,F5,384
Plate2,F6,425
Plate2,F7,103
Plate2,F8,544
Plate2,F9,178
Plate2,F10,141
Plate2,F11,348
Plate2,F12,373
Plate2,G1,222
Plate2,G2,548
Plate2,G3,385
Plate2,G4,398
Plate2,G5,185
Plate2,G6,248
Plate2,G7,488
Plate2,G8,283
Plate2,G9,247
Plate2,G10,304
Plate2,G11,282
Plate2,G12,278
Plate2,H1,191
Plate2,H2,354
Plate2,H3,327
Plate2,H4,373
Plate2,H5,462
Plate2,H6,422
Plate2,H7,0
Plate2,H8,376
Plate2,H9,0
Plate2,H10,0
Plate2,H11,0
Plate2,H12,0